LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
29.822201,-95.219429,Combustion Turbine,80369183.52425045,354.0,45150.56719635019,1062,42.51465837697758
29.822222,-91.5425,Combustion Turbine,33498538.899,34.5,24874.5,721,34.5
29.822222,-91.5425,O/G Steam,323333723.286,333.0,240093.0,721,333.0
29.836952,-95.121744,Combined Cycle,397418220.99,810.0,584009.9999999999,3605,161.99999999999997
29.838138,-94.900661,Combustion Turbine,499944.9389999995,12.3,799.4999999999992,65,12.299999999999988
29.866497,-93.96515,Combined Cycle,50265799.917663634,92.9,55008.22392708982,1442,38.14717331975716
29.866497,-93.96515,Combustion Turbine,21731316.91919972,66.0,23781.59999999969,725,32.99999999999979
29.883214,-95.111345,Combustion Turbine,38815631.988000005,86.0,31003.0,721,21.5
29.88332594163316,-94.16298120559705,Non-Fossil Waste,0.0,5.0,3605.0,721,5.0
29.9172,-96.7506,Coal Steam,2066619464.6551285,1615.0,884108.4708888351,2163,408.7417803462021
29.9327,-89.9782,Non-Fossil Waste,0.0,46.0,33166.0,721,46.0
29.9417,-95.5306,Combined Cycle,333866157.97745746,664.0,245976.89246239612,3721,44.58774562482089
29.9417,-95.5306,Combustion Turbine,62494995.2213478,361.0,46043.37502226674,1239,37.16172318181334
29.9472,-90.1458,Combined Cycle,238814006.04980382,560.0,220096.5548336413,1382,156.4481576732001
29.9472,-90.1458,O/G Steam,0.0,1322.0,0.0,0,0.0
29.954321,-93.883592,Combustion Turbine,63781462.5,70.0,50470.0,1442,35.0
29.963502,-93.929737,Combustion Turbine,25945931.235,61.0,43981.0,1442,30.5
29.9728,-94.2142,Combustion Turbine,7497777.056,16.0,11536.0,2884,4.0
29.9728,-94.2142,O/G Steam,0.0,12.8,0.0,0,0.0
29.97876,-93.952294,Combustion Turbine,12997523.5264,32.0,23072.0,721,32.0
29.9861,-90.4414,Combined Cycle,118947801.79067943,270.0,191170.17238689805,2851,67.42900925572653
29.9888,-90.4599,Combined Cycle,72661151.51139231,738.9000000000001,96136.6684414388,770,94.74797904961991
29.995267,-90.471581,Nuclear,0.0,1165.4,840253.4000000106,721,1165.4000000000146
29.998884,-90.47684,Combustion Turbine,29458680.164715745,33.1,22408.274975936834,682,32.85670817586046
29.998884,-90.47684,O/G Steam,0.0,821.0,0.0,0,0.0
30.005067,-90.461694,O/G Steam,0.0,932.0,0.0,0,0.0
30.01,-90.460833,Combined Cycle,606471313.0,1000.0,721000.0,2163,333.3333333333333
30.0242,-93.878,O/G Steam,0.0,1582.0,0.0,0,0.0
30.0381,-96.9875,Combustion Turbine,42032964.31987876,176.0,38236.083038111276,871,32.713545166714
30.038649,-90.828312,Non-Fossil Waste,0.0,26.0,18746.0,1442,13.0
30.0636,-94.0753,Combustion Turbine,4396269.434326003,467.0,6543.557438413811,67,62.07648794819053
30.0636,-94.0753,Fossil Waste,2422008.435,5.0,3605.0,721,5.0
30.0636,-94.0753,O/G Steam,0.0,137.5,0.0,0,0.0
30.0688,-83.5253,Non-Fossil Waste,0.0,42.0,30282.0,5047,6.0
30.119304,-83.560054,Solar PV,0.0,5.1,684.6728900752082,300,2.2822429669173605
